,NAME,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
285,Afghanistan,AFG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,30,40,40,40,40,40,40,40,40,40
314,Angola,AGO,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,30,20,10,30,30,30,20,0,10,30,30,40
343,Albania,ALB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,80,80,80,80,100,100,100,100
372,Argentina,ARG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,100,90,90
401,Armenia,ARM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,100,100,100
430,Antigua and Barbuda,ATG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,60,60,60,60,60,60,60,60,60,60
459,Azerbaijan,AZE,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,70,60,60,60,60,80
488,Burundi,BDI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,30,30,50,40,40,40,40,40,40,50,50
517,Benin,BEN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,40,50,60,60,60,60,60,80,80,80,80,80
546,Burkina Faso,BFA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,80,80,80,80,70,80,80
575,Bangladesh,BGD,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,80,70
604,Bulgaria,BGR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,100,100,100,90,90,90,90,80,80,80,80,80
633,Bosnia and Herzegovina,BIH,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,60,80,70,70,70
662,Belarus,BLR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,70,80,80,80,80,80,80,80,80,80,80,80
691,Belize,BLZ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,50,50,50,50,40,60,60,40,40,60,60
720,Bolivia,BOL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,60,80,80,80,80
749,Brazil,BRA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,70,60,60,60,60
778,Bhutan,BTN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,80,60,80,80,80,80,80,80,80,70,70,70
807,Botswana,BWA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,70,70,70,70,70,80,70,60,50,40,40,40
836,Central African Republic,CAF,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,50,50,60,60,60,60,60,60,40,20,20
865,Chile,CHL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,100,100,100,100,100,100
894,China,CHN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,60,60,60,60,60,60,60,60,60,60,50
923,Cote d'Ivoire,CIV,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,70,70,70,50,50,50,30,20,40,60,50
952,Cameroon,CMR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,50,50,50,50,50,50,50,40,40,40,70,70
981,"Congo, Dem. Rep.",COD,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,30,30,30,30,30,30,30,30,20,20
1010,"Congo, Rep.",COG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,40,40,40,40,40,40,40,40,40,40,60,40
1039,Colombia,COL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,80,80,80,80,80,80,60,60,80,80,80
1068,Comoros,COM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,60,60,60,60,60,50,50,50,50,20,0
1097,Cabo Verde,CPV,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,90,100,100,100,100,100,80,80,80,70,70,70,60
1126,Costa Rica,CRI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,60,60,80,80,80
1155,Djibouti,DJI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,20,10,10,30,20,20,20,20,20,40,40
1184,Dominica,DMA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,40,40,40,40,40,40,40,40,40,60,60
1213,Dominican Republic,DOM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,80,80,80,80,80
1242,Algeria,DZA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,50,50,50,50,50,40,30,30,30,40,40
1271,Ecuador,ECU,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,60,60,50,50,40,40
