,NAME,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
277,Afghanistan,AFG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,40,30,40,40,40,50,50,40,40,40
306,Angola,AGO,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,50,40,40,40,50,60,60,40,30,30
335,Albania,ALB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,70,70,60,60,60,60,70,60,50,50,60,70
364,Argentina,ARG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,80,90,90,90,90,90,70,100,100,90,80
393,Armenia,ARM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,100,100,100,100,100,90,100,100,100,100,90
422,Antigua and Barbuda,ATG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,30,20,10,20,30,40,50,50,50,40
451,Azerbaijan,AZE,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,70,70,70,70,60,60,70,60,60,70,80
480,Burundi,BDI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,40,50,40,40,40,50,40,40,50,50
509,Benin,BEN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,30,30,30,40,40,40,40,40,50,50
538,Burkina Faso,BFA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,40,40,30,30,20,40,40,40,40,50,50
567,Bangladesh,BGD,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,70,70,40,40,50,50,40,40,70,60,60,50
596,Bulgaria,BGR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,90,90,90,90,90,90,90,90,90,90,90
625,Bosnia and Herzegovina,BIH,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,50,50,50,60,70,70,70,70,70,70,60
654,Belarus,BLR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,90,90,90,90,90,90,90,90,90,90,90
683,Belize,BLZ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,50,50,50,40,40,40,40,40,40
712,Bolivia,BOL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,60,50,60,50,70,60,60,50,30
741,Brazil,BRA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,100,100,100,90,90,90,90,80,80,90,90,90,80
770,Bhutan,BTN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,40,70,70,70,60,60,60,50,50,50
799,Botswana,BWA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,30,30,40,30,30,30,40,30,40,30,20,40
828,Central African Republic,CAF,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,10,10,20,30,30,30,30,30,30,30,20,20
857,Chile,CHL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,80,90,80,80,90,90,90,90,90,90,90,80
886,China,CHN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,30,50,50,50,60,70,60,60,70,70,100,100
915,Cote d'Ivoire,CIV,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,60,60,40,40,50,70,60,60,40,50,60,60
944,Cameroon,CMR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,60,60,60,50,60,50,40,40,40,40,50,50
973,"Congo, Dem. Rep.",COD,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,40,40,30,20,20,30,30,40,50,50,40,30
1002,"Congo, Rep.",COG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,50,40,50,50,40,40,50,30,30,20,30
1031,Colombia,COL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,80,90,80,90,80,80,80,90,90,90,90,90
1060,Comoros,COM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,30,30,20,20,20,10,20,20,20,30,20
1089,Cabo Verde,CPV,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,40,30,40,50,50,40,60,50,60,60
1118,Costa Rica,CRI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,80,80,80,80,80,80,80,80,80,80,80,90
1147,Djibouti,DJI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,30,30,30,20,30,40,40,40,40,40,40
1176,Dominica,DMA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,50,30,40,50,40,60,60,60,60
1205,Dominican Republic,DOM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,40,50,50,50,50,50,50,50,60,60,70,70
1234,Algeria,DZA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,50,50,60,60,50,50,50,50,60
1263,Ecuador,ECU,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,90,80,80,80,80,70,70,80,80,80,70
1292,"Egypt, Arab Rep.",EGY,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,80,70,70,70,70,80,70,80,80,80,80,70
1321,Eritrea,ERI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,20,20,20,20,20,20,20,20,20,20
1350,Ethiopia,ETH,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,60,70,70,70,60,40,40,50,50,50,40
1379,Fiji,FJI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,40,40,20,50,50,50,50,30,40,50
1408,"Micronesia, Fed. Sts.",FSM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,30,30,10,10,40,40,40,40,20,10
1437,Gabon,GAB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,20,20,10,20,20,30,30,40,40,30,20,30
1466,Georgia,GEO,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,60,70,70,90,90,90,90,90,90,90,90
1495,Ghana,GHA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,30,30,40,40,50,50,50,60,60,60,60,60
1524,Guinea,GIN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,30,30,30,20,30,30,30,40,40,20,30,30
1553,"Gambia, The",GMB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,40,30,30,30,50,40,50,60,50,60,50,50
1582,Guinea-Bissau,GNB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,30,20,10,20,20,30,30,30,30,30,30,30
1611,Equatorial Guinea,GNQ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,0,0,0,10,10,10,10,10,30,40,30,30
1640,Grenada,GRD,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,50,40,40,30,30,40,50,30,30,30,40
1669,Guatemala,GTM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,50,60,60,60,60,50,40,40,40,50
1698,Guyana,GUY,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,40,40,30,30,30,50,50,60,60,60,50,50
1727,Honduras,HND,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,60,70,70,70,50,50,50,60,60,40
1756,Croatia,HRV,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,80,90,90,80,80,80,90,90,90,90,80
1785,Haiti,HTI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,30,30,30,30,30,30,30,30,20,20
1814,Indonesia,IDN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,80,90,90,80,80,70,70,60,70,80,80,80
1843,India,IND,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,80,90,90,80,90,80,80,70,80,80,90,100
1872,"Iran, Islamic Rep.",IRN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,70,70,70,50,40,50,50,60,60,70,60
1901,Iraq,IRQ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,10,20,20,10,10,20,20,20,20,30,30,30
1930,Jamaica,JAM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,60,50,50,60,60,70,70,80,80,80,60
1959,Jordan,JOR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,70,70,70,70,80,80,80,80,80,80,70,60
1988,Kazakhstan,KAZ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,90,90,90,90,90,90,90,90,90,90,90
2017,Kenya,KEN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,50,50,50,50,50,30,40,40,40,60
2046,Kyrgyz Republic,KGZ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,80,80,90,90,90,80,80,80,80,80,80,90
2075,Cambodia,KHM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,70,70,70,70,70,70,50,60,60,60,30,30
2104,Kiribati,KIR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,20,20,20,10,20,30,30,30,30,30,40,40
2133,St. Kitts and Nevis,KNA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,60,60,60,60,60,60,40,50,60,50,40
2162,Lao PDR,LAO,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,40,40,50,50,60,60,50,50,50
2191,Lebanon,LBN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,30,40,40,50,50,50,50,50,50,50,50
2220,Liberia,LBR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,10,10,10,10,10,10,20,30,20,30,40,40
2249,Libya,LBY,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,30,30,30,30,40,30,30,30,30,10,10,10
2278,St. Lucia,LCA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,40,40,50,50,60,50,60,50,60,60
2307,Sri Lanka,LKA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,60,50,60,60,60,60,60,70,50,80,80
2336,Lesotho,LSO,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,40,40,40,50,50,60,60,60,50,30,40
2365,Morocco,MAR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,80,80,90,100,90,80,80,80,80,80,90,80
2394,Moldova,MDA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,90,90,90,90,90,90,100,100,100,100,100,100
2423,Madagascar,MDG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,50,50,50,50,50,50,50,50,50,50,50
2452,Maldives,MDV,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,50,60,60,60,60,70,70,70,50,50,60
2481,Mexico,MEX,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,70,70,70,80,90,100,100,100,100,100,100,90
2510,Marshall Islands,MHL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,10,10,10,10,10,20,50,50,40,20,10,10
2539,"Macedonia, FYR",MKD,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,70,70,50,60,60,70,70,70,80,80,70
2568,Mali,MLI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,40,40,20,20,20,20,30,30,30,30,30,30
2597,Myanmar,MMR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,40,40,40,40,50,50,50,50,40
2626,Montenegro,MNE,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,50,50,30,30,40,40,50,60,50,50,60
2655,Mongolia,MNG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,70,70,60,60,70,70,70,70,60,60,50
2684,Mozambique,MOZ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,40,40,50,50,50,60,60,60,70,60,50
2713,Mauritania,MRT,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,40,40,40,50,40,40,50,60,50,60,50,40
2742,Mauritius,MUS,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,80,80,80,80,80,80,100,100,100,100,100,100
2771,Malawi,MWI,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,60,50,50,60,60,50,60,50,50,50,60
2800,Malaysia,MYS,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,80,70,70,90,80,70,60,60,70,70,70,70
2829,Namibia,NAM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,30,30,40,40,40,40,40,30,40,40
2858,Niger,NER,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,50,30,30,30,40,40,50,40,40,40,40
2887,Nigeria,NGA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,30,40,40,40,40,50,50,50,50,50,40,30
2916,Nicaragua,NIC,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,50,60,40,40,50,40,40,50,60,60,60,60
2945,Nepal,NPL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,70,60,50,60,50,40,50,30,30,50,50,50
3003,Pakistan,PAK,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,80,90,90,80,80,70,60,50,70,70,70,70
3032,Panama,PAN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,60,50,60,60,50,50,50,70,60,50,40
3061,Peru,PER,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,100,90,90,90,90,90,90,90,90,100,100,100,90
3090,Philippines,PHL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,60,70,80,80,70,70,60,60,60,60,60,60
3119,Palau,PLW,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,10,10,10,10,0,10,10,20,30,40,30
3148,Papua New Guinea,PNG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,50,50,60,40,30,30,30,40,40,40,30
3177,Poland,POL,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,100,100,100,100,100,100,90,90,100,90,90,80,80
3206,Paraguay,PRY,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,40,50,50,40,40,40,40,50,50,50,40,40
3264,Romania,ROU,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,90,90,90,90,90,90,90,90,90,90,80,80
3293,Russian Federation,RUS,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,80,80,80,80,90,90,70,70,80,80,90,90
3322,Rwanda,RWA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,60,60,60,40,40,60,50,70,60,50,60
3351,Sudan,SDN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,30,30,30,30,30,30,30,20,40,50,50,50
3380,Senegal,SEN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,70,60,50,60,60,50,50,50,60,60,60
3409,Solomon Islands,SLB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,20,20,30,50,50,50,60,60,50,30,40
3438,Sierra Leone,SLE,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,30,40,30,40,40,30,30,40,40,50,50,40
3467,El Salvador,SLV,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,70,60,60,80,70,80,80,80,80,80,80
3496,Somalia,SOM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,0,0,10,0,0,0,0,0,0,0,0,0,10
3525,Serbia,SRB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,50,50,60,60,80,80,80,80,80,80,80
3583,Sao Tome and Principe,STP,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,30,40,40,40,40,40,40,40,40,40,40,50
3612,Suriname,SUR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,30,30,30,40,40,40,30,40,40,40,50,50
3641,Swaziland,SWZ,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,30,20,30,40,50,40,40,30,40,40,40,50
3670,Seychelles,SYC,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,60,60,60,60,60,70,70,70,80,80,90
3699,Syrian Arab Republic,SYR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,60,70,50,50,70,60,30,30,30,20,10
3728,Chad,TCD,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,40,30,40,30,30,30,30,50,50,30,20
3757,Togo,TGO,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,30,40,40,40,40,40,50,40,40,40,40,50,50
3786,Thailand,THA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,90,90,90,80,90,90,80,90,90,90,100
3815,Tajikistan,TJK,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,50,50,50,60,70,70,70,70,70,70,70,60
3844,Turkmenistan,TKM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,20,40,40,40,30,30,30,30,30,30,30,30
3873,Timor-Leste,TLS,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,20,10,10,10,20,40,30,20,20,60,50,50,50
3902,Tonga,TON,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,50,50,60,50,50,50,50,50,40,50,50
3931,Trinidad and Tobago,TTO,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,80,80,80,60,70,70,60,70,50,50,50,30
3960,Tunisia,TUN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,70,70,80,80,80,70,70,80,80,80,70
3989,Turkey,TUR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,70,70,80,90,80,80,80,90,90,90,80,100
4047,Tanzania,TZA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,40,50,60,60,60,60,60,50,50
4076,Uganda,UGA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,60,50,40,40,40,40,50,50,50,40,60
4105,Ukraine,UKR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,90,90,80,80,90,90,90,100,100,100,100,100,100
4134,Uruguay,URY,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,80,80,80,80,90,90,90,90,80,80,80,70
4163,Uzbekistan,UZB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,40,40,50,40,50,50,50,50,60,50,50,50
4192,St. Vincent and the Grenadines,VCT,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,60,60,60,40,30,40,40,60,40,60,60,70,60
4221,"Venezuela, RB",VEN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,70,70,70,80,70,60,50,60,70,70,70,70,50
4250,Vietnam,VNM,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,50,30,30,30,30,40,50,60,60,60
4279,Vanuatu,VUT,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,60,50,60,60,30,60,40,30,30,30,20,20
